City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,thompson,55.7435,-97.8558,-27.24,75,20,4.61,CA,1738340770
90,margate,51.3813,1.3862,41.88,88,100,18.63,GB,1738340771
91,plastun,44.7561,136.2939,9.48,70,83,8.39,RU,1738340772
92,enriquillo,17.9,-71.2333,81.79,61,2,16.53,DO,1738340773
93,trancoso,22.7333,-102.3667,60.12,32,90,5.32,MX,1738340775
94,fort bragg,35.139,-79.006,66.81,78,40,17.27,US,1738340776
95,lazaro cardenas,17.9583,-102.2,81.21,39,0,0.4,MX,1738340777
96,lampazos de naranjo,27.0167,-100.5167,63.9,25,98,2.89,MX,1738340778
97,rio grande,-32.035,-52.0986,78.33,61,35,9.57,BR,1738340779
98,isafjordur,66.0755,-23.124,37.44,65,100,16.11,IS,1738340781
99,ushuaia,-54.8,-68.3,53.26,58,75,11.5,AR,1738340540
100,tiksi,71.6872,128.8694,-28.25,100,100,3.53,RU,1738340783
101,manokwari,-0.8667,134.0833,77.14,91,99,14.72,ID,1738340784
102,maceio,-9.6658,-35.7353,89.04,58,75,12.66,BR,1738340785
103,badger,64.8,-147.5333,-29.33,72,20,0.0,US,1738340787
104,alotau,-10.3069,150.4462,78.57,89,98,4.36,PG,1738340788
105,moose jaw,50.4001,-105.5344,10.67,85,100,19.57,CA,1738340789
106,pasni,25.2631,63.471,62.87,36,0,29.91,PK,1738340790
107,vilyuysk,63.7553,121.6247,-37.37,100,87,2.42,RU,1738340792
108,kruisfontein,-34.0033,24.7314,68.56,66,78,19.33,ZA,1738340793
109,sidi akkacha,36.4647,1.3026,53.89,66,17,9.8,DZ,1738340794
110,rasht,37.2808,49.5832,46.22,81,20,4.61,IR,1738340795
111,queenstown,-31.8976,26.8753,77.67,49,8,19.04,ZA,1738340796
112,nishinoomote,30.7333,131.0,58.01,64,81,14.5,JP,1738340798
113,nemuro,43.3236,145.575,28.72,76,80,16.4,JP,1738340799
114,lebu,-37.6167,-73.65,64.08,79,17,16.58,CL,1738340526
115,ust-nera,64.5667,143.2,-40.72,99,81,4.0,RU,1738340801
116,sitka,57.0531,-135.33,28.29,64,100,8.05,US,1738340795
